family,trial,objective,selection_bacc,selection_kappa,dataset_bacc,dataset_kappa,model_bacc,model_kappa,state,top_k,variance_threshold,corr_threshold,resampler,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,iterations,depth,l2_leaf_reg,random_strength,bagging_temperature,min_samples_split,min_samples_leaf,max_features,hidden_layer_sizes,alpha,learning_rate_init,activation
catboost,1,0.46949867110110766,0.4691358024691358,0.3628686319718928,0.3665123456790123,0.2778107158541941,0.6597222222222222,0.5208333333333333,TrialState.COMPLETE,20,1e-10,0.95,none,,,0.08940426613543132,,,,,,360.0,5.0,4.027302563108012,2.517975197824423,0.2593279995508533,,,,,,,
catboost,2,0.47782060656164826,0.4774305555555556,0.39005100609267274,0.3842592592592593,0.3271083854417188,0.6504629629629629,0.5069444444444444,TrialState.COMPLETE,12,1e-10,0.9,smoteenn,,,0.2693289837004383,,,,,,520.0,7.0,1.240313840218524,3.016001263457783,2.58771970526533,,,,,,,
catboost,3,0.48392353234728236,0.4835262345679012,0.39729777938111266,0.38117283950617287,0.3195606862273529,0.6736111111111112,0.5416666666666666,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.03724070431554687,,,,,,120.0,6.0,9.533448533071304,2.981785045240606,1.4152322707466012,,,,,,,
catboost,4,0.41993732764149433,0.41963734567901234,0.2999819624819625,0.29783950617283944,0.1922799422799423,0.6458333333333334,0.5,TrialState.COMPLETE,none,0.0001,1.0,smote,,,0.21311436515135584,,,,,,640.0,5.0,9.559015521841536,2.088818177930332,1.1650524916061724,,,,,,,
catboost,5,0.4701185691755364,0.4697530864197531,0.36548275578328415,0.36496913580246915,0.27809312855547996,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,12,1e-06,0.9,ros,,,0.028664807610274626,,,,,,320.0,2.0,3.7390635445431357,2.3778104807388623,1.3750094289899044,,,,,,,
catboost,6,0.46863312343162156,0.4682484567901235,0.38466664149803687,0.3626543209876543,0.30760679888586867,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,35,1e-10,0.98,smoteenn,,,0.14120621046183085,,,,,,400.0,6.0,3.021906896108362,3.2792884029775795,0.7318759524148098,,,,,,,
catboost,7,0.47217612727446057,0.4717978395061728,0.37828776828776833,0.37808641975308643,0.31275041275041277,0.6458333333333334,0.5,TrialState.COMPLETE,12,1e-10,1.0,smoteenn,,,0.048478578258396125,,,,,,600.0,4.0,3.3771771379649937,1.1987122104655152,2.302333995953303,,,,,,,
catboost,8,0.50086101912358,0.5004629629629629,0.3980561606171973,0.40972222222222215,0.3244667428298762,0.6689814814814814,0.5347222222222222,TrialState.COMPLETE,12,0.0,0.98,smote,,,0.2816258904367837,,,,,,600.0,2.0,1.9729367663035344,2.4260671922677792,2.723368650266928,,,,,,,
catboost,9,0.46614493600619245,0.4657793209876543,0.36561501853817036,0.36882716049382713,0.2932538746741082,0.6458333333333334,0.5,TrialState.COMPLETE,12,1e-10,1.0,none,,,0.02177657408758402,,,,,,520.0,6.0,7.781117868344216,3.20474863167107,0.18391614675534151,,,,,,,
catboost,10,0.4501279426290337,0.4497685185185185,0.3594241105152082,0.3541666666666667,0.29868666574989294,0.6273148148148148,0.4722222222222222,TrialState.COMPLETE,50,0.0,0.98,smote,,,0.34547486302354674,,,,,,680.0,2.0,1.3262862694641346,0.08222598221522559,2.05228013820162,,,,,,,
catboost,11,0.4987588952920175,0.49834104938271606,0.4178459093014443,0.4089506172839506,0.3586518262757263,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,none,0.0,0.98,smote,,,0.043965652179134174,,,,,,80.0,3.0,18.68239199877781,3.961216239515624,1.8486852820345043,,,,,,,
catboost,12,0.4484434473204265,0.4481095679012346,0.33387941919191916,0.34413580246913583,0.24816919191919187,0.6412037037037036,0.4930555555555556,TrialState.COMPLETE,20,0.0,0.98,smote,,,0.06321855621487298,,,,,,240.0,3.0,16.610121577980852,3.8604656280076792,1.8726774901158019,,,,,,,
