var,fi,fi_rank,dataset,scenario,model_class,heldout_model,cv,attack
target_diversity_in_neighborhood_q75,0.0,38.5,,one-model-out,XGB,nn,,
target_diversity_in_neighborhood_q1,0.0,38.5,,one-model-out,XGB,nn,,
target_diversity_in_neighborhood_minmax,0.0,38.5,,one-model-out,XGB,nn,,
approx_diversity_in_neighborhood_mean,0.0,38.5,,one-model-out,XGB,nn,,
approx_diversity_in_neighborhood_q0,0.0,38.5,,one-model-out,XGB,nn,,
approx_diversity_in_neighborhood_q25,0.0,38.5,,one-model-out,XGB,nn,,
approx_diversity_in_neighborhood_q50,0.0,38.5,,one-model-out,XGB,nn,,
approx_diversity_in_neighborhood_q75,0.0,38.5,,one-model-out,XGB,nn,,
approx_diversity_in_neighborhood_q1,0.0,38.5,,one-model-out,XGB,nn,,
approx_diversity_in_neighborhood_minmax,0.0,38.5,,one-model-out,XGB,nn,,
bacc_test_mean,0.6712518334388733,1.0,,one-model-out,XGB,nn,,
bacc_test_q0,0.0,38.5,,one-model-out,XGB,nn,,
bacc_test_q25,0.0,38.5,,one-model-out,XGB,nn,,
bacc_test_q50,0.0,38.5,,one-model-out,XGB,nn,,
bacc_test_q75,0.0,38.5,,one-model-out,XGB,nn,,
