scenario,split,family,feature_count,resampler,bacc,kappa,precision_weighted,recall_weighted,f1_weighted
one-model-out,lin,rf,24,smoteenn,0.5185185185185185,0.2777777777777778,0.5857843137254902,0.5185185185185185,0.5102564102564103
one-model-out,nn,rf,26,smoteenn,0.25,0.0,0.0625,0.25,0.1
one-model-out,svm,rf,28,smoteenn,0.7962962962962964,0.6944444444444444,0.8071348940914158,0.7962962962962963,0.7922895357985837
one-model-out,xgb,rf,28,smoteenn,0.8518518518518517,0.7777777777777778,0.8974358974358974,0.8518518518518519,0.8441558441558442
10-fold cross-validation,0,rf,28,smoteenn,0.7055555555555556,0.6814159292035398,0.6979166666666666,0.75,0.7077380952380953
10-fold cross-validation,1,rf,27,smoteenn,0.7984126984126984,0.7362637362637363,0.8174603174603176,0.7916666666666666,0.792094017094017
10-fold cross-validation,2,rf,28,smoteenn,0.9523809523809524,0.8951965065502183,0.9404761904761906,0.9166666666666666,0.9166666666666669
10-fold cross-validation,3,rf,27,smoteenn,0.7722222222222223,0.7885462555066078,0.8472222222222222,0.8333333333333334,0.8305555555555556
10-fold cross-validation,4,rf,26,smoteenn,0.7666666666666666,0.8296296296296296,0.8405797101449275,0.8695652173913043,0.8521739130434783
10-fold cross-validation,5,rf,28,smoteenn,0.5833333333333334,0.5434243176178659,0.6352657004830917,0.6521739130434783,0.6328993257382004
10-fold cross-validation,6,rf,28,smoteenn,0.5873015873015873,0.6658595641646489,0.7842650103519668,0.7391304347826086,0.7445728184858619
10-fold cross-validation,7,rf,27,smoteenn,0.6555555555555556,0.7181372549019609,0.7551759834368529,0.782608695652174,0.7629877369007805
10-fold cross-validation,8,rf,27,smoteenn,0.5499999999999999,0.7181372549019609,0.7670807453416149,0.782608695652174,0.7673727238944629
10-fold cross-validation,9,rf,28,smoteenn,0.8634920634920635,0.7215496368038741,0.815734989648033,0.782608695652174,0.7896523766088983
one-data-set-out,banknote,mlp,12,smoteenn,0.49074074074074076,0.48987341772151904,0.5370526908988448,0.6025641025641025,0.553353693452949
one-data-set-out,diabetes,mlp,12,smoteenn,0.3680555555555556,0.3264248704663213,0.32342553093894777,0.48717948717948717,0.37619167717528373
one-data-set-out,wilt,mlp,12,smoteenn,0.4444444444444444,0.4,0.34615384615384615,0.5384615384615384,0.4164835164835165
one-model-out,lin,mlp,12,smoteenn,0.5740740740740741,0.36111111111111116,0.5931495405179616,0.5740740740740741,0.5793197043197043
one-model-out,nn,mlp,12,smoteenn,0.25,0.0,0.0625,0.25,0.1
one-model-out,svm,mlp,12,smoteenn,0.7962962962962963,0.6944444444444444,0.8735632183908045,0.7962962962962963,0.7753191489361703
one-model-out,xgb,mlp,12,smoteenn,0.9259259259259259,0.8888888888888888,0.9259259259259259,0.9259259259259259,0.9259259259259259
10-fold cross-validation,0,mlp,12,smoteenn,0.8055555555555555,0.7379912663755459,0.8796296296296297,0.7916666666666666,0.771031746031746
10-fold cross-validation,1,mlp,12,smoteenn,0.6277777777777778,0.6283185840707965,0.6892361111111112,0.7083333333333334,0.6944444444444443
10-fold cross-validation,2,mlp,12,smoteenn,0.9444444444444443,0.8947368421052632,0.9404761904761906,0.9166666666666666,0.9152777777777779
10-fold cross-validation,3,mlp,12,smoteenn,0.5111111111111111,0.5221238938053097,0.5885416666666666,0.625,0.6009259259259259
10-fold cross-validation,4,mlp,12,smoteenn,0.7166666666666667,0.8283582089552239,0.8454106280193237,0.8695652173913043,0.8510372264847968
10-fold cross-validation,5,mlp,12,smoteenn,0.46249999999999997,0.5467980295566504,0.6480331262939958,0.6521739130434783,0.6376811594202899
10-fold cross-validation,6,mlp,12,smoteenn,0.5222222222222223,0.6642335766423357,0.7246376811594203,0.7391304347826086,0.7304347826086957
10-fold cross-validation,7,mlp,12,smoteenn,0.45555555555555555,0.545679012345679,0.6207729468599034,0.6521739130434783,0.6213768115942029
10-fold cross-validation,8,mlp,12,smoteenn,0.65,0.6634146341463415,0.7934782608695652,0.7391304347826086,0.7126293995859214
10-fold cross-validation,9,mlp,12,smoteenn,0.9388888888888888,0.8875305623471883,0.9184782608695652,0.9130434782608695,0.9125164690382082
one-data-set-out,banknote,voting,11,ros,0.5,0.5075757575757576,0.5641025641025641,0.6153846153846154,0.564935064935065
one-data-set-out,diabetes,voting,12,ros,0.3310185185185185,0.22823218997361472,0.38198757763975155,0.4230769230769231,0.33688186813186816
one-data-set-out,wilt,voting,11,ros,0.5000000000000001,0.3666666666666667,0.3685897435897436,0.5128205128205128,0.42609890109890114
one-model-out,lin,voting,11,ros,0.6296296296296297,0.4444444444444444,0.6814814814814815,0.6296296296296297,0.5925925925925926
one-model-out,nn,voting,12,ros,0.25,0.0,0.0625,0.25,0.1
one-model-out,svm,voting,12,ros,0.9814814814814815,0.9722222222222222,0.9824561403508772,0.9814814814814815,0.9814671814671814
one-model-out,xgb,voting,12,ros,0.8518518518518517,0.7777777777777778,0.8614718614718616,0.8518518518518519,0.85
